From Date,To Date,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Temp,RH,WS,WD,SR,BP,VWS,AT,RF,Timestamp,Month,Season,AQI_PM25,AQI_PM10,AQI
01-01-2024 00:00,02-01-2024 00:00,44.045277777777784,180.91986111111112,10.12,26.68,34.79,40.39,3.09,1.27,11.12,0.1,0.64,,79.56,0.56,111.18,53.05,990.73,,10.89,0.0,2024-01-01,1.0,Winter,417.24615384615385,251.2,417.24615384615385
02-01-2024 00:00,03-01-2024 00:00,44.045277777777784,180.91986111111112,20.0,29.37,47.37,38.98,3.54,1.29,12.26,0.12,0.72,,77.35,0.54,133.05,59.52,989.99,,10.21,0.0,2024-02-01,2.0,Winter,462.3538461538461,299.33,462.3538461538461
03-01-2024 00:00,04-01-2024 00:00,44.045277777777784,180.91986111111112,21.57,47.43,49.42,40.12,4.69,1.82,10.24,0.28,1.91,,88.31,0.61,120.46,44.92,989.87,,9.83,0.0,2024-03-01,3.0,Spring,431.07692307692304,269.21,431.07692307692304
04-01-2024 00:00,05-01-2024 00:00,44.045277777777784,180.91986111111112,20.43,55.09,45.92,36.88,7.32,1.74,3.71,0.39,3.28,,87.16,1.16,262.06,28.61,990.15,,10.23,0.0,2024-04-01,4.0,Spring,494.9076923076923,374.00000000000006,494.9076923076923
05-01-2024 00:00,06-01-2024 00:00,44.045277777777784,180.91986111111112,18.78,52.8,43.36,41.13,4.93,1.63,11.46,0.34,3.08,,88.54,0.7,198.65,24.23,990.16,,11.06,0.0,2024-05-01,5.0,Spring,382.6461538461539,240.92000000000002,382.6461538461539
06-01-2024 00:00,07-01-2024 00:00,44.045277777777784,180.91986111111112,16.39,63.41,47.05,38.86,5.13,1.58,13.55,0.34,3.43,,82.04,0.65,136.27,46.39,991.83,,10.8,0.0,2024-06-01,6.0,Monsoon,412.5230769230769,250.92000000000002,412.5230769230769
07-01-2024 00:00,08-01-2024 00:00,44.045277777777784,180.91986111111112,17.49,55.17,43.57,34.02,6.71,1.55,38.68,0.3,2.14,,79.55,0.65,204.25,66.67,992.42,,10.68,0.0,2024-07-01,7.0,Monsoon,394.69230769230774,235.77999999999997,394.69230769230774
08-01-2024 00:00,09-01-2024 00:00,44.045277777777784,180.91986111111112,17.15,68.06,50.14,33.73,7.87,1.9,12.93,0.41,3.16,,87.88,0.57,193.21,36.82,992.19,,10.01,0.0,2024-08-01,8.0,Monsoon,484.7230769230769,485.79999999999995,485.79999999999995
09-01-2024 00:00,10-01-2024 00:00,44.045277777777784,180.91986111111112,12.66,52.0,37.95,45.84,5.51,1.37,11.37,0.33,3.18,,87.51,1.14,194.39,29.9,992.2,,10.27,0.0,2024-09-01,9.0,Monsoon,356.4307692307692,220.86,356.4307692307692
10-01-2024 00:00,11-01-2024 00:00,44.045277777777784,180.91986111111112,12.62,51.52,37.66,44.18,4.04,1.28,22.96,0.23,1.34,,83.29,1.59,249.4,60.76,990.72,,9.86,0.0,2024-10-01,10.0,Post-Monsoon,366.8615384615385,227.14999999999998,366.8615384615385
11-01-2024 00:00,12-01-2024 00:00,44.045277777777784,180.91986111111112,17.67,71.17,52.22,46.84,5.37,1.76,37.45,0.34,2.1,,78.67,1.31,253.29,69.22,991.0,,10.47,0.0,2024-11-01,11.0,Post-Monsoon,438.6461538461539,289.68,438.6461538461539
12-01-2024 00:00,13-01-2024 00:00,44.045277777777784,180.91986111111112,42.28,76.28,74.94,47.61,5.21,1.92,30.47,0.36,2.83,,79.38,0.99,222.11,66.17,990.16,,10.22,0.0,2024-12-01,12.0,Winter,390.70769230769235,226.25,390.70769230769235
13-01-2024 00:00,14-01-2024 00:00,44.045277777777784,180.91986111111112,41.03,98.1,85.55,52.0,5.56,3.32,19.37,0.67,7.26,,86.26,0.64,175.99,57.22,989.36,,9.51,0.0,,,,73.4087962962963,153.94657407407408,153.94657407407408
14-01-2024 00:00,15-01-2024 00:00,44.045277777777784,180.91986111111112,68.39,103.19,110.49,51.75,16.2,3.68,41.19,0.79,7.42,,80.89,0.82,216.86,59.6,989.43,,10.39,0.0,,,,73.4087962962963,153.94657407407408,153.94657407407408
15-01-2024 00:00,16-01-2024 00:00,44.045277777777784,180.91986111111112,59.69,88.91,95.81,42.81,7.31,2.41,35.5,0.5,4.8,,76.29,0.74,207.68,83.39,988.86,,10.36,0.0,,,,73.4087962962963,153.94657407407408,153.94657407407408
16-01-2024 00:00,17-01-2024 00:00,44.045277777777784,180.91986111111112,19.54,48.61,41.74,45.56,3.93,2.07,14.98,0.47,3.12,,90.79,1.1,178.91,47.51,987.27,,9.04,0.0,,,,73.4087962962963,153.94657407407408,153.94657407407408
17-01-2024 00:00,18-01-2024 00:00,44.045277777777784,180.91986111111112,12.39,42.71,32.69,36.96,4.17,1.42,32.88,0.29,1.49,,82.42,1.02,190.92,73.76,987.36,,9.66,0.0,,,,73.4087962962963,153.94657407407408,153.94657407407408
18-01-2024 00:00,19-01-2024 00:00,44.045277777777784,180.91986111111112,9.83,46.82,32.88,34.51,7.59,1.35,18.07,0.29,1.57,,89.54,0.84,217.53,52.67,989.44,,9.44,0.0,,,,73.4087962962963,153.94657407407408,153.94657407407408
19-01-2024 00:00,20-01-2024 00:00,44.045277777777784,180.91986111111112,7.66,43.53,29.22,33.56,4.33,1.27,14.89,0.28,1.85,,90.47,0.89,211.88,36.92,991.12,,9.43,0.0,,,,73.4087962962963,153.94657407407408,153.94657407407408
20-01-2024 00:00,21-01-2024 00:00,44.045277777777784,180.91986111111112,7.21,42.82,28.64,31.29,4.71,1.38,30.3,0.25,0.99,,82.66,0.79,215.74,54.97,991.34,,9.82,0.0,,,,73.4087962962963,153.94657407407408,153.94657407407408
